date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:09:23	150847/150847	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202022%2010:39:23%20GMT	https://www.drishtiias.com/to-the-points/paper1/types-of-forests-in-india	C:/My%20Web%20Sites/bitm34/www.drishtiias.com/to-the-points/paper1/types-of-forests-in-india.html	(from )
16:09:24	312/312	---MCZ	200	added ('OK')	text/plain	etag:W/%22624f80ef-3db%22	https://www.drishtiias.com/robots.txt		(from )
16:09:24	8587/8587	---M--	200	added ('OK')	image/jpeg	etag:%22611cf6e8-2720%22	https://www.drishtiias.com/drishti/img/drishti-dual-logo.jpg	C:/My%20Web%20Sites/bitm34/www.drishtiias.com/drishti/img/drishti-dual-logo.jpg	(from https://www.drishtiias.com/to-the-points/paper1/types-of-forests-in-india)
16:09:24	38827/38827	---M-Z	200	added ('OK')	application/javascript	etag:%2280a8697a8a2d81:0%22	http://bat.bing.com/bat.js	C:/My%20Web%20Sites/bitm34/bat.bing.com/bat.js	(from https://www.drishtiias.com/to-the-points/paper1/types-of-forests-in-india)
16:09:25	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2006%20Nov%202022%2010:39:25%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/bitm34/www.googletagmanager.com/gtm.35445.delayed	(from https://www.drishtiias.com/to-the-points/paper1/types-of-forests-in-india)
16:09:25	326967/326967	---MCZ	200	added ('OK')	text/css	etag:W/%2262ceb1e2-4fd37%22	https://www.drishtiias.com/drishti/css/main.css	C:/My%20Web%20Sites/bitm34/www.drishtiias.com/drishti/css/main.css	(from https://www.drishtiias.com/to-the-points/paper1/types-of-forests-in-india)
16:09:25	81514/81514	---MCZ	200	added ('OK')	text/css	etag:W/%22624f80f1-19446%22	https://www.drishtiias.com/drishti/css/custom.css	C:/My%20Web%20Sites/bitm34/www.drishtiias.com/drishti/css/custom.css	(from https://www.drishtiias.com/to-the-points/paper1/types-of-forests-in-india)
16:09:25	3162/3162	---MCZ	200	added ('OK')	text/css	etag:W/%22624f80f1-eb3%22	https://www.drishtiias.com/drishti/css/colorbox.css	C:/My%20Web%20Sites/bitm34/www.drishtiias.com/drishti/css/colorbox.css	(from https://www.drishtiias.com/to-the-points/paper1/types-of-forests-in-india)
16:09:26	30969/30969	---MCZ	200	added ('OK')	text/css	etag:W/%22624f80f1-8dde%22	https://www.drishtiias.com/drishti/css/datepicker.css	C:/My%20Web%20Sites/bitm34/www.drishtiias.com/drishti/css/datepicker.css	(from https://www.drishtiias.com/to-the-points/paper1/types-of-forests-in-india)
16:09:26	14352/14352	---MCZ	200	added ('OK')	text/css	etag:W/%22624f80f1-45b8%22	https://www.drishtiias.com/drishti/css/fancybox.css	C:/My%20Web%20Sites/bitm34/www.drishtiias.com/drishti/css/fancybox.css	(from https://www.drishtiias.com/to-the-points/paper1/types-of-forests-in-india)
16:09:26	35973/35973	---M-Z	200	added ('OK')	text/css	etag:W/%2262f659d6-8c85%22	http://code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css	C:/My%20Web%20Sites/bitm34/code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css	(from https://www.drishtiias.com/to-the-points/paper1/types-of-forests-in-india)
16:09:27	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/bitm34/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://www.drishtiias.com/to-the-points/paper1/types-of-forests-in-india)
16:09:27	86659/86659	---MCZ	200	added ('OK')	application/javascript	etag:W/%22624f80f1-15283%22	https://www.drishtiias.com/drishti/js/jquery.min.js	C:/My%20Web%20Sites/bitm34/www.drishtiias.com/drishti/js/jquery.min.js	(from https://www.drishtiias.com/to-the-points/paper1/types-of-forests-in-india)
16:09:28	850/850	---MC-	200	added ('OK')	text/javascript	date:Sun,%2006%20Nov%202022%2010:39:28%20GMT	https://www.google.com/recaptcha/api.js	C:/My%20Web%20Sites/bitm34/www.google.com/recaptcha/api.js	(from https://www.drishtiias.com/to-the-points/paper1/types-of-forests-in-india)
16:09:28	346415/346415	---MCZ	200	added ('OK')	application/javascript	etag:W/%22624f80f0-5492f%22	https://www.drishtiias.com/webroot/admin/js/tinymce/js/tinymce/tinymce.min.js	C:/My%20Web%20Sites/bitm34/www.drishtiias.com/webroot/admin/js/tinymce/js/tinymce/tinymce.min.js	(from https://www.drishtiias.com/to-the-points/paper1/types-of-forests-in-india)
16:09:29	3561/3561	---MCZ	200	added ('OK')	application/javascript	etag:W/%22624f80f0-de9%22	https://www.drishtiias.com/webroot/admin/js/tinymce/js/tinymce/jquery.tinymce.min.js	C:/My%20Web%20Sites/bitm34/www.drishtiias.com/webroot/admin/js/tinymce/js/tinymce/jquery.tinymce.min.js	(from https://www.drishtiias.com/to-the-points/paper1/types-of-forests-in-india)
16:09:29	106675/106675	---MCZ	200	added ('OK')	application/javascript	etag:W/%22624f80f0-1a0b3%22	https://www.drishtiias.com/webroot/admin/js/jquery.nicescroll.js	C:/My%20Web%20Sites/bitm34/www.drishtiias.com/webroot/admin/js/jquery.nicescroll.js	(from https://www.drishtiias.com/to-the-points/paper1/types-of-forests-in-india)
16:09:30	41/41	---M--	200	added ('OK')	text/css	etag:%22624f80f1-29%22	https://www.drishtiias.com//drishti/css/editor.css	C:/My%20Web%20Sites/bitm34/www.drishtiias.com/drishti/css/editor.css	(from https://www.drishtiias.com/to-the-points/paper1/types-of-forests-in-india)
16:09:32	2013/2013	---MCZ	200	added ('OK')	text/css	etag:W/%22bd21b0313fe7dc2b8ac08955a7ef1209%22	http://cdn-images.mailchimp.com/embedcode/horizontal-slim-10_7.css	C:/My%20Web%20Sites/bitm34/cdn-images.mailchimp.com/embedcode/horizontal-slim-10_7.css	(from https://www.drishtiias.com/to-the-points/paper1/types-of-forests-in-india)
16:09:33	6087/6087	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2005%20Nov%202022%2020:17:57%20GMT	http://script.crazyegg.com/pages/scripts/0084/3729.js	C:/My%20Web%20Sites/bitm34/script.crazyegg.com/pages/scripts/0084/3729.js	(from https://www.drishtiias.com/to-the-points/paper1/types-of-forests-in-india)
16:09:34	57596/57596	---M-Z	200	added ('OK')	application/javascript	etag:%2232ad004436155ec972bc50e6238b5b67+gzip+gzip%22	http://static.ads-twitter.com/uwt.js	C:/My%20Web%20Sites/bitm34/static.ads-twitter.com/uwt.js	(from https://www.drishtiias.com/to-the-points/paper1/types-of-forests-in-india)
16:09:35	520714/520714	---M-Z	200	added ('OK')	application/javascript	etag:W/%2262f659d6-7f20a%22	https://code.jquery.com/ui/1.12.1/jquery-ui.js	C:/My%20Web%20Sites/bitm34/code.jquery.com/ui/1.12.1/jquery-ui.js	(from https://www.drishtiias.com/to-the-points/paper1/types-of-forests-in-india)
16:09:36	50230/50230	---MC-	200	added ('OK')	text/javascript	date:Tue,%2027%20Sep%202022%2022:01:05%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/bitm34/www.google-analytics.com/analytics.js	(from https://www.drishtiias.com/to-the-points/paper1/types-of-forests-in-india)
16:09:36	4255/4255	---M--	200	added ('OK')	application/javascript	etag:%22d89453438fbf10dcf4c13265c40d5160%22	https://certify-js.alexametrics.com/atrk.js	C:/My%20Web%20Sites/bitm34/certify-js.alexametrics.com/atrk.js	(from https://www.drishtiias.com/to-the-points/paper1/types-of-forests-in-india)
16:09:36	43/43	---M--	200	added ('OK')	image/gif	etag:%22221d8352905f2c38b3cb2bd191d630b0%22	https://certify.alexametrics.com/atrk.gif?account=+JHos1B46r20ly	C:/My%20Web%20Sites/bitm34/certify.alexametrics.com/atrk11e4.gif	(from https://www.drishtiias.com/to-the-points/paper1/types-of-forests-in-india)
16:09:37	105275/105275	---M-Z	200	added ('OK')	application/x-javascript	date:Sun,%2006%20Nov%202022%2010:39:37%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/bitm34/connect.facebook.net/en_US/fbevents.js	(from https://www.drishtiias.com/to-the-points/paper1/types-of-forests-in-india)
16:09:38	155035/155035	---M--	200	added ('OK')	image/png	etag:%2261addaf8-27c68%22	https://www.drishtiias.com/drishti/img/drishti_logo_new_eng.png	C:/My%20Web%20Sites/bitm34/www.drishtiias.com/drishti/img/drishti_logo_new_eng.png	(from https://www.drishtiias.com/to-the-points/paper1/types-of-forests-in-india)
16:09:38	135612/135612	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202022%2010:39:38%20GMT	https://www.drishtiias.com/to-the-points/paper1/meghalayan-age	C:/My%20Web%20Sites/bitm34/www.drishtiias.com/to-the-points/paper1/meghalayan-age.html	(from https://www.drishtiias.com/to-the-points/paper1/types-of-forests-in-india)
16:09:39	145517/145517	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202022%2010:39:39%20GMT	https://www.drishtiias.com/to-the-points/paper1/reforms-and-administration-under-lord-curzon	C:/My%20Web%20Sites/bitm34/www.drishtiias.com/to-the-points/paper1/reforms-and-administration-under-lord-curzon.html	(from https://www.drishtiias.com/to-the-points/paper1/types-of-forests-in-india)
16:09:40	262686/262686	---M--	200	added ('OK')	image/jpeg	etag:%226086a173-412f5%22	https://www.drishtiias.com/images/uploads/1619435891_image5.jpg	C:/My%20Web%20Sites/bitm34/www.drishtiias.com/images/uploads/1619435891_image5.jpg	(from https://www.drishtiias.com/to-the-points/paper1/types-of-forests-in-india)
16:09:40	21214/21214	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202022%2010:39:39%20GMT	https://www.drishtiias.com/to-the-points/paper1/types-of-forests-in-india/print_manually	C:/My%20Web%20Sites/bitm34/www.drishtiias.com/to-the-points/paper1/types-of-forests-in-india/print_manually.html	(from https://www.drishtiias.com/to-the-points/paper1/types-of-forests-in-india)
16:09:41	79607/79607	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2006%20Nov%202022%2010:39:40%20GMT	https://drishti-english.disqus.com/embed.js	C:/My%20Web%20Sites/bitm34/drishti-english.disqus.com/embed.js	(from https://www.drishtiias.com/to-the-points/paper1/types-of-forests-in-india)
16:09:42	25036/25036	---M--	200	added ('OK')	image/png	etag:%2261add57d-8ddf%22	https://www.drishtiias.com/frontend/img/drishti_logo_new.png	C:/My%20Web%20Sites/bitm34/www.drishtiias.com/frontend/img/drishti_logo_new.png	(from https://www.drishtiias.com/to-the-points/paper1/types-of-forests-in-india)
16:09:43	367208/367208	---M--	200	added ('OK')	image/gif	etag:%225fa032ea-59cc9%22	https://www.drishtiias.com/drishti/img/DLP-final.gif	C:/My%20Web%20Sites/bitm34/www.drishtiias.com/drishti/img/DLP-final.gif	(from https://www.drishtiias.com/to-the-points/paper1/types-of-forests-in-india)
16:09:43	4109/4109	---M--	200	added ('OK')	image/png	etag:%225a42952c-147d%22	https://www.drishtiias.com/frontend/img/app-google.png	C:/My%20Web%20Sites/bitm34/www.drishtiias.com/frontend/img/app-google.png	(from https://www.drishtiias.com/to-the-points/paper1/types-of-forests-in-india)
16:09:43	4298/4298	---M--	200	added ('OK')	image/png	etag:%225a42953a-16f3%22	https://www.drishtiias.com/frontend/img/app-ios.png	C:/My%20Web%20Sites/bitm34/www.drishtiias.com/frontend/img/app-ios.png	(from https://www.drishtiias.com/to-the-points/paper1/types-of-forests-in-india)
16:09:44	14084/14084	---M--	200	added ('OK')	image/png	etag:%226198a4ad-590c%22	https://www.drishtiias.com/images/uploads/1637393581_social-media-expand.png	C:/My%20Web%20Sites/bitm34/www.drishtiias.com/images/uploads/1637393581_social-media-expand.png	(from https://www.drishtiias.com/to-the-points/paper1/types-of-forests-in-india)
16:09:44	41953/41953	---MCZ	200	added ('OK')	application/javascript	etag:W/%22624f80f1-a3e1%22	https://www.drishtiias.com/drishti/js/slick.min.js	C:/My%20Web%20Sites/bitm34/www.drishtiias.com/drishti/js/slick.min.js	(from https://www.drishtiias.com/to-the-points/paper1/types-of-forests-in-india)
16:09:44	429204/429204	---M--	200	added ('OK')	image/png	etag:%2263527723-69df2%22	https://www.drishtiias.com/images/uploads/1666348835_63523cb268a8e_diwali-popup-for-WEBSITE-eng.png	C:/My%20Web%20Sites/bitm34/www.drishtiias.com/images/uploads/1666348835_63523cb268a8e_diwali-popup-for-WEBSITE-eng.png	(from https://www.drishtiias.com/to-the-points/paper1/types-of-forests-in-india)
16:09:45	2981/2981	---MCZ	200	added ('OK')	application/javascript	etag:W/%22624f80f1-ba5%22	https://www.drishtiias.com/drishti/js/nav.js	C:/My%20Web%20Sites/bitm34/www.drishtiias.com/drishti/js/nav.js	(from https://www.drishtiias.com/to-the-points/paper1/types-of-forests-in-india)
16:09:45	29131/29131	---MCZ	200	added ('OK')	application/javascript	etag:W/%22624f80f1-71cb%22	https://www.drishtiias.com/drishti/js/jquery.colorbox.js	C:/My%20Web%20Sites/bitm34/www.drishtiias.com/drishti/js/jquery.colorbox.js	(from https://www.drishtiias.com/to-the-points/paper1/types-of-forests-in-india)
16:09:45	520714/520714	---MCZ	200	added ('OK')	application/javascript	etag:W/%22624f80f1-7f20a%22	https://www.drishtiias.com/drishti/js/jquery.datepicker.js	C:/My%20Web%20Sites/bitm34/www.drishtiias.com/drishti/js/jquery.datepicker.js	(from https://www.drishtiias.com/to-the-points/paper1/types-of-forests-in-india)
16:09:45	12681/12681	---MCZ	200	added ('OK')	application/javascript	etag:W/%22624f80f1-3189%22	https://www.drishtiias.com/drishti/js/jquery.multi-select.js	C:/My%20Web%20Sites/bitm34/www.drishtiias.com/drishti/js/jquery.multi-select.js	(from https://www.drishtiias.com/to-the-points/paper1/types-of-forests-in-india)
16:09:46	5416/5416	---MCZ	200	added ('OK')	application/javascript	etag:W/%22624f80f1-1528%22	https://www.drishtiias.com/drishti/js/custom.js	C:/My%20Web%20Sites/bitm34/www.drishtiias.com/drishti/js/custom.js	(from https://www.drishtiias.com/to-the-points/paper1/types-of-forests-in-india)
16:09:46	52723/52723	---MCZ	200	added ('OK')	application/javascript	etag:W/%22624f80f1-cdf3%22	https://www.drishtiias.com/drishti/js/jquery.fancybox.js	C:/My%20Web%20Sites/bitm34/www.drishtiias.com/drishti/js/jquery.fancybox.js	(from https://www.drishtiias.com/to-the-points/paper1/types-of-forests-in-india)
16:09:47	219/219	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2006%20Nov%202022%2010:39:46%20GMT	http://drishti-english.disqus.com/count.js	C:/My%20Web%20Sites/bitm34/drishti-english.disqus.com/count.2c.delayed	(from https://www.drishtiias.com/to-the-points/paper1/types-of-forests-in-india)
16:09:48	1517/1517	---M-Z	200	added ('OK')	application/javascript	etag:%226362a4e0-367%22	https://drishti-english.disqus.com/count.js	C:/My%20Web%20Sites/bitm34/drishti-english.disqus.com/count.js	(from https://www.drishtiias.com/to-the-points/paper1/types-of-forests-in-india)
16:09:48	155/155	---M--	200	added ('OK')	image/png	etag:%225a46e06e-3db%22	https://www.drishtiias.com/drishti/img/down.png	C:/My%20Web%20Sites/bitm34/www.drishtiias.com/drishti/img/down.png	(from https://www.drishtiias.com/drishti/css/main.css)
16:09:48	141/141	---M--	200	added ('OK')	image/png	etag:%225a5d1996-3fd%22	https://www.drishtiias.com/drishti/img/icons/icon-arrow-right-white.png	C:/My%20Web%20Sites/bitm34/www.drishtiias.com/drishti/img/icons/icon-arrow-right-white.png	(from https://www.drishtiias.com/drishti/css/main.css)
16:09:48	26856/26856	---M--	200	added ('OK')	image/png	etag:%225e8ad67d-8de6%22	https://www.drishtiias.com/drishti/img/coming-soon-tag.png	C:/My%20Web%20Sites/bitm34/www.drishtiias.com/drishti/img/coming-soon-tag.png	(from https://www.drishtiias.com/drishti/css/main.css)
16:09:49	309/309	---M--	200	added ('OK')	image/png	etag:%225baa7d0a-18b%22	https://www.drishtiias.com/drishti/img/apple.png	C:/My%20Web%20Sites/bitm34/www.drishtiias.com/drishti/img/apple.png	(from https://www.drishtiias.com/drishti/css/main.css)
16:09:49	1043/1043	---M--	200	added ('OK')	image/png	etag:%225baa7d24-43e%22	https://www.drishtiias.com/drishti/img/play-store.png	C:/My%20Web%20Sites/bitm34/www.drishtiias.com/drishti/img/play-store.png	(from https://www.drishtiias.com/drishti/css/main.css)
16:09:49	99/99	---M--	200	added ('OK')	image/png	etag:%225eba697a-3d0%22	https://www.drishtiias.com/drishti/img/icon-plus.png	C:/My%20Web%20Sites/bitm34/www.drishtiias.com/drishti/img/icon-plus.png	(from https://www.drishtiias.com/drishti/css/main.css)
16:09:49	83/83	---M--	200	added ('OK')	image/png	etag:%225eba6977-3bd%22	https://www.drishtiias.com/drishti/img/icon-minus.png	C:/My%20Web%20Sites/bitm34/www.drishtiias.com/drishti/img/icon-minus.png	(from https://www.drishtiias.com/drishti/css/main.css)
16:09:50	108/108	---M--	200	added ('OK')	image/png	etag:%225a5fcbe8-3e7%22	https://www.drishtiias.com/drishti/img/icons/icon-tags-arrow.png	C:/My%20Web%20Sites/bitm34/www.drishtiias.com/drishti/img/icons/icon-tags-arrow.png	(from https://www.drishtiias.com/drishti/css/main.css)
